,feature,support,ranking,mean score,std score
401,D_117_2.0_13_periods_max,False,50,0.7816978798986984,0.0012326138622972998
34,R_4,False,51,0.7762426870083367,0.002548090439207127
84,R_10,False,52,0.7820796858574899,0.0019264584036540137
127,S_26,False,53,0.7829325986099362,0.0023709119319917167
271,R_6_13_periods_logmax,False,54,0.7820140046470542,0.001789991307153139
170,D_139,False,55,0.7830182945939952,0.0019365261771145772
174,D_143,False,56,0.7823226256026283,0.0013461147103607848
262,D_61_6_periods_mean,False,57,0.7822832351570663,0.0018084189996716159
240,D_50_13_periods_sum,False,58,0.7822049382402981,0.0019122973620590144
91,B_28,False,59,0.7820504017598142,0.002343008352348116
82,S_16,False,60,0.7813404866495218,0.0015917313618335636
254,S_8_6_periods_min,False,61,0.7826181156940011,0.0018841519653214488
319,S_20_13_periods_max,False,62,0.7816978774241445,0.0012326138892768885
392,B_38_5.0_13_periods_std,False,63,0.7816978799976324,0.0012326033552437622
142,B_39,False,64,0.7825354756601699,0.00237105908811392
304,D_83_13_periods_logmax,False,65,0.7818343273204644,0.0013008829693443341
404,D_117_5.0_13_periods_max,False,66,0.7816978824722329,0.0012326111275676374
97,R_16,False,67,0.7815339181115535,0.0026344237623765307
406,D_120_0.0_13_periods_min,False,68,0.7816978795027475,0.0012326112675622098
249,B_11_3_periods_logmean,False,69,0.7825540011779339,0.0016788554267072302
334,S_23_3_periods_median,False,70,0.7816978818783324,0.0012326125835615612
277,D_71_3_periods_logmin,False,71,0.7820989119503122,0.0017183714978652126
287,D_77_13_periods_logmin,False,72,0.7819374020210988,0.0012155540036911368
80,R_8,False,73,0.7814675425304896,0.002018547746056745
172,D_141,False,74,0.782697445616252,0.0019927718007392583
132,D_106,False,75,0.7827477461478409,0.001853699109552764
256,B_13_13_periods_loglast/first,False,76,0.7826181090621971,0.0018841508346622122
99,S_18,False,77,0.7812935228220833,0.0018962996817825412
233,R_2_6_periods_max,False,78,0.7824632755533178,0.0012997780507151824
61,D_69,False,79,0.7801763201842092,0.0025364792592210135
295,D_80_13_periods_std,False,80,0.7819374027139808,0.0012155540370901176
19,B_6,False,81,0.7692133447108416,0.0023318254954988182
110,R_20,False,82,0.7823909970118088,0.0016532778758622361
68,D_73,False,83,0.7805119407055643,0.0022908723951484064
290,D_78_13_periods_logmax,False,84,0.7819373999424807,0.001215555429937749
321,R_21_13_periods_max,False,85,0.7816978757414541,0.001232615567047311
76,B_25,False,86,0.781034227331131,0.0027666434694905554
260,D_59_3_periods_mean,False,87,0.7820527548283318,0.002049049599921103
339,D_103_13_periods_logmax,False,88,0.7816978852437049,0.0012326085131044674
87,D_81,False,89,0.7822271092666111,0.0020491808456849967
182,B_38_3.0,False,90,0.7829032021990094,0.0018480923406371337
116,D_91,False,91,0.7826108214620681,0.002030796738286885
47,D_61,False,92,0.7783111314113669,0.002836526635305741
285,B_24_6_periods_logmax,False,93,0.7819374834839609,0.0012155178966996316
58,R_6,False,94,0.7803653443060771,0.002625776133548471
176,D_145,False,95,0.7819082091139924,0.0018454236023448412
109,S_20,False,96,0.7823492532831858,0.0017717913389807356
212,D_64_U,False,97,0.7826631323203193,0.0018057772926769224
342,D_106_13_periods_logmin,False,98,0.7816978818783173,0.0012326106339696622
300,D_82_13_periods_sum,False,99,0.7819379179195153,0.0012152772294480453
376,D_136_13_periods_std,False,100,0.7816978813834197,0.001232610818828214
274,D_69_13_periods_logmax,False,101,0.7821735605540892,0.0016591501512468834
364,D_127_13_periods_logsum,False,102,0.7816978778200757,0.0012326138233967748
345,R_26_3_periods_std,False,103,0.7816978810864759,0.0012326127051354183
333,S_22_3_periods_max,False,104,0.7816978817793334,0.0012326111532659115
60,B_21,False,105,0.7803307483695554,0.0022868252188604876
303,R_13_13_periods_logmax,False,106,0.7819378284391098,0.001215316337467963
267,B_17_6_periods_max,False,107,0.7821033805502193,0.0019469122511590145
